Условие отправки,Раздел,Название,Фраза,,,,,,,,,,,,,,,,,,,,,
"Первое приветственное сообщение, отправляем всем новым клиентом в зависимости от тега, с которым пришел клиент",ТЕСТ MAX,1. Приветствие (sweetgold),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею
,Возражения,Дорого - скажите честно,"Я так предполагаю, основной вопрос в цене?)

Понимаю, цена - важный фактор. Скажите честно, вы ожидали другую сумму или просто не готовы прямо сейчас столько потратить на худи? 

Мне важно понять, чтобы знать, можем ли мы вообще найти вариант",,,,,,,,,,,,,,,,,,,,,
,Возражения,Недоверие - наши реквизиты,"Ознакомьтесь с нашими реквизитами:

✅ИП Хакимуллин Айдар Ильхамович
Реквизиты
✅ОГРНИП
318169000177309
✅ИНН
165716466071

Отзывы наших клиентов:
https://vk.com/reviews-44440184

✅Наша группа верифицирована. Это значит, что руководитель предоставил все документы и ВКонтакте официально это подтвердил

❤ Оплату принимаем только через официальную систему платежей. Поэтому у Вас будет чек об оплате, возможность обменять товар, примерка и просмотр заказа при получении

[photo-44440184_457366388]
[photo-228420497_456240098]
[video-44440184_456239839]

Давайте продолжим обсуждение Вашего заказа?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Недоверие - видео со склада,"Записал для вас видео со склада

Наши реквизиты на оф. сайте Т-банка: https://www.tbank.ru/business/contractor/legal/318169000177309/

Лично проконтролирую Ваш заказ, мы Вас не подведем. Давайте оформим?
[video-81457851_456240406]",,,,,,,,,,,,,,,,,,,,,
,Возражения,Недоверие - голосовое от Софии,[audio_message569993513_688862683],,,,,,,,,,,,,,,,,,,,,
,Возражения,Маркетплейсы - какой вариант вы ищите?,"Маркетплейс - нормальный вариант, многие смотрят туда для сравнения.
Но разница в том, что у нас вы получаете гарантированное качество и контроль перед отправкой: мы проверяем швы, плотность ткани, ровность принтов/вышивки и отправляем только после согласования с вами.

На маркетплейсе обычно продают массовые модели без контроля качества перед отправкой, поэтому результат может отличаться от ожиданий.

А вы ищете максимально надёжный вариант или действительно самое низкое предложение? Чтобы я понимала, как лучше для вас подобрать.",,,,,,,,,,,,,,,,,,,,,
,Возражения,"Возврат/обмен - важно, чтобы село идеально","[Имя], мы понимаем, как важно, чтобы изделие село идеально 
Поэтому перед пошивом уточняем рост и вес, чтобы размер был точным.

Если сомневаетесь — бесплатно проконсультируем и подберём вместе.

После оформления заказа вышлем электронный макет для согласования — все правки бесплатные.
За всё время работы ещё не было ни одного случая, чтобы костюм не подошёл.

Давайте оформим заказ?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Почему нужна предоплата - гарантии,"[Имя], понимаю ваши сомнения
Без предоплаты мы, к сожалению, не можем запустить заказ в работу.

Мы используем только качественные ткани премиум-класса и сотрудничаем с проверенным производством, где работают профессиональные швеи.
Благодаря этому изделия сохраняют вид и форму долгие годы.

Предоплата нужна, чтобы передать заказ в производство — пошив начинается только после оплаты.

Но не переживайте: все риски мы берём на себя.
Если размер вдруг не подойдёт — организуем обмен за наш счёт 

Прислать Вам гарантии о нашей компании?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Закажу позже - бронь,"[Имя], уточню важный момент 
Скидка действует для вас только сегодня, пока вы обратились 

Но всю сумму сразу вносить не нужно — достаточно всего 700₽, и мы уже начнем делать эл. макет.
Оплату 50% для запуска производства можем перенести на любую дату, когда вам будет удобно 

Так и скидка сохранится, и по финансам — без нагрузки 

Если сейчас удобно — можно даже 500₽, чтобы просто зафиксировать за вами.
Сохраним скидку?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Видео с производства,"1
[video-44440184_456239839]",,,,,,,,,,,,,,,,,,,,,
,Возражения,Видео-отзывы (50% при получении),"[Имя], я понимаю ваши сомнения насчет покупок в интернете, это нормально

Давайте чтобы вам было спокойнее, покажу Вам видео-отзывы от реальных клиентов, где они показывают наши худи и рассказывают про качество.

Также отмечу, что мы работаем официально, отправляем по всей России, и всегда остаёмся на связи

Для Вас согласовала оплату 50% при получении. Давайте оформим так?
[video-228420497_456239072]
[video-228420497_456239074]
[video-228420497_456239071]",,,,,,,,,,,,,,,,,,,,,
,Возражения,Видео-отзывы (бесплатный макет),"Понимаю, цена - важный момент

Поэтому прикладываю видео клиентов, где они показывают толстовки вблизи . Многие именно после просмотра говорили, что цена полностью оправдана.
Материал плотный, не растягивается, не садится, дизайн не трескается.

Давайте сделаем бесплатный макет, чтобы вы сразу понимали, как будет смотреться с Вашим дизайном?
[video-228420497_456239072]
[video-228420497_456239074]
[video-228420497_456239071]",,,,,,,,,,,,,,,,,,,,,
,Возражения,Видео-отзывы (принт или вышивка),"[Имя], качество - это первое, на что мы делаем упор

Чтобы вы не ориентировались только на мои слова, прикрепляю реальные видео-отзывы, где видно плотность ткани, швы, как выглядит худи в жизни))

Вы на изделие хотели бы принт или вышивку сделать?
[video-228420497_456239072]
[video-228420497_456239074]
[video-228420497_456239071]",,,,,,,,,,,,,,,,,,,,,
,Возражения,Возражение - предоплата+50% при получении,[audio_message569993513_687993810],,,,,,,,,,,,,,,,,,,,,
,Возражения,Не можем сделать возврат,"Понимаю вас 
Но, к сожалению, вернуть предоплату мы не можем, так как она уже была направлена на работу дизайнера, который подготовил для вас электронный макет по выбранному Вами дизайну.
Эта работа уже выполнена и оплачена нами.

Мы очень ценим, что вы выбрали наши толстовки, поэтому предлагаю не отменять заказ, а мы сделаем вам небольшой подарок 
Можем добавить к вашему заказу белую базовую футболку или оформить скидку 500 ₽ — на ваш выбор.

Что выбираете, футболку или скидку?",,,,,,,,,,,,,,,,,,,,,
,Возражения,У вас есть негативные отзывы,"Понимаю ваши переживания, это нормально ❤️
У любой компании, которая работает с большим количеством заказов, могут встречаться отдельные негативные отзывы - это часть любой живой работы.

Важно другое: как мы реагируем на такие ситуации.
Каждый случай мы разбираем, доводим до конца и исправляем, поэтому сейчас у нас отлаженный сервис, гарантии и персональная поддержка на каждом этапе.

Чтобы вы чувствовали себя спокойнее, отправлю Вам реальные видео-обзоры клиентов и покажу свежие отзывы за последний месяц.

Давайте продолжим обсуждение вашего дизайна?
[video-228420497_456239072]
[video-228420497_456239074]
[photo-228420497_456240270]
[photo-228420497_456240271]
[photo-228420497_456240272]
[photo-228420497_456240273]
[photo-228420497_456240274]
[photo-228420497_456240275]",,,,,,,,,,,,,,,,,,,,,
,Возражения,Уход за худи с принтом,"✅ Оптимальные условия стирки для одежды с принтом:
Температура воды — не выше 30 °C
Отжим до 600 об/мин, а лучше — режим «деликатная стирка» или «ручной»
Выворачивайте вещь наизнанку перед стиркой
Не сушите в машине, только естественным способом (в расправленном виде, вдали от батарей и солнца)
Утюжить — только с изнанки через ткань или бумагу",,,,,,,,,,,,,,,,,,,,,
,Возражения,Макет готов,"Ваш макет готов!
Проверьте, пожалуйста, все ли верно?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Ингнор,"Давайте начистоту, из-за чего молчите?

1. Заказ не актуален
2. Сомневаюсь в предоплате
3. У вас дорого
4. Планирую делать заказ позже
5. Нет времени пообщаться
6. Думаю что вы мошенники
7. Другое...",,,,,,,,,,,,,,,,,,,,,
,Возражения,Маркетплейс,"Маркетплейс - нормальный вариант, многие смотрят туда для сравнения.
Но разница в том, что у нас вы получаете гарантированное качество и контроль перед отправкой: мы проверяем швы, плотность ткани, ровность принтов/вышивки и отправляем только после согласования с вами.

На маркетплейсе обычно продают массовые модели без контроля качества перед отправкой, поэтому результат может отличаться от ожиданий.

А вы ищете максимально надёжный вариант или действительно самое низкое предложение? Чтобы я понимала, как лучше для вас подобрать.",,,,,,,,,,,,,,,,,,,,,
,Возражения,Возврат-обмен,"[Имя], мы понимаем, как важно, чтобы изделие село идеально
Поэтому перед пошивом уточняем рост и вес, чтобы размер был точным.

Если сомневаетесь — бесплатно проконсультируем и подберём вместе.

После оформления заказа вышлем электронный макет для согласования — все правки бесплатные.
За всё время работы ещё не было ни одного случая, чтобы костюм не подошёл.

Давайте оформим заказ?",,,,,,,,,,,,,,,,,,,,,
,Возражения,При получении оплачу,"[Имя], понимаю ваши сомнения
Без предоплаты мы, к сожалению, не можем запустить заказ в работу.

Мы используем только качественные ткани премиум-класса и сотрудничаем с проверенным производством, где работают профессиональные швеи.
Благодаря этому изделия сохраняют вид и форму долгие годы.

Предоплата нужна, чтобы передать заказ в производство — пошив начинается только после оплаты.

Но не переживайте: все риски мы берём на себя.
Если размер вдруг не подойдёт — организуем обмен за наш счёт

Прислать Вам гарантии о нашей компании?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Возврат предоплаты,"Понимаю вас
Но, к сожалению, вернуть предоплату мы не можем, так как она уже была направлена на работу дизайнера, который подготовил для вас электронный макет по выбранному Вами дизайну.
Эта работа уже выполнена и оплачена нами.

Мы очень ценим, что вы выбрали наши толстовки, поэтому предлагаю не отменять заказ, а мы сделаем вам небольшой подарок
Можем добавить к вашему заказу белую базовую футболку или оформить скидку 500 ₽ — на ваш выбор.

Что выбираете, футболку или скидку?",,,,,,,,,,,,,,,,,,,,,
,Возражения,"Если нет всей суммы, но хочет подарок","Согласна, [Имя], часто бывает неудобно оплатить сразу, поэтому есть более удобный вариант.

Предлагаю забронировать заказ всего за 500₽ — и в этом случае:
 я закреплю за вами подарок на выбор (кепка или футболка)

Подарков не так много и мы резервируем их только за подтверждёнными заказами, поэтому необходима предоплата)

То есть, вы ничего не теряете — мы фиксируем за вами и модель, и размер, и подарок, а остальная сумма оплачивается уже перед изготовлением, когда вам будет удобно) 

Закрепим так подарки?",,,,,,,,,,,,,,,,,,,,,
"Сообщения для того, чтобы пинговать клиентов, которые не отвечают",Пинги,Пинг - очки в подарок,"Здравствуйте 
Это София, менеджер Hemilton

Хочу сделать Вам небольшое приятное предложение))) При оформлении заказа СЕГОДНЯ в подарок добавлю стильные солнцезащитные очки ️

Скоро лето, поэтому аксессуар очень актуальный, а с нашей одеждой они вообще смотрятся супер гармонично - получается уже готовый образ 

Подарок, правда, ограничен по количеству, поэтому решила написать вам заранее ✨

Оформим заказ с подарочком? 
[photo-228420497_456240423]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - носки в подарок,"[Имя], Вам подарочек

Сегодня у нас действует предложение - при оформлении предзаказа мы подарим вам носкиЕсть в черном и белом цвете

Всегда нужна вещь для любого мужчины и хорошо сочетается со всей нашей одеждой. На фото как раз показала, как они смотрятся 

Предложение ограничено, поэтому могу уже сейчас закрепить подарок за вашим заказом

Каким цветом Вам положить?)
[photo-228420497_456240421]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - ДЕНЬ 3 ПОЗАВЧЕРА (ббф с принтом в подарок),"Добавили подарок к вашему заказу
Сегодня при оформлении заказа положим белую базовую футболку бесплатно и сделаем принт на неё в подарок.

Фактически вы получаете второй полноценный элемент без доплат.

Давайте оформим заказ с подарком?
[photo-228420497_456239799]
[photo-228420497_456239800]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - ДЕНЬ 3 ПОЗАВЧЕРА (оплата при получении),"Оплата при получении

[Имя], я согласовала для вас другой вариант оплаты - при получении ❤️‍ И с максимальной скидкой)

✅Худи будет всего 4990р
Сейчас будет достаточно оплатить всего 500р, мы сделаем электронный макет, после 50% от стоимости заказа для изготовления
А остаток 50% при получении, после того, как проверите качество и примерите) 

Такой вариант будет удобен для вас? ❤️",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - футболка=альтернатива,"Если сейчас цена толстовки кажется высокой, можно начать с более лёгкого варианта — футболки

Можем сделать для неё тот же самый дизайн, чтобы сохранить идею

Футболка отлично носится в жару: 100% хлопок, плотная ткань, комфортная посадка.

По стоимости: футболка с дизайном - 2790р

Это хороший вариант, если хочется попробовать наш дизайн без переплаты и сразу получить вещь, которую можно носить каждый день 

Сразу покажу Вам варианты дизайнов) Какой нравится?

[photo-228420497_456240714]
[photo-228420497_456240715]
[photo-228420497_456240716]
[photo-228420497_456240717]
[photo-228420497_456240718]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - 4990 + 50% при получении,"[Имя], пишу Вам с просьбой

Цены на наши худи скоро поднимаются, и я уже должна была закрыть доступ к старым условиям. Но мне так жалко отказывать тем, кто давно думает и никак не решится

Поэтому на сегодня оставляю для Вас старые условия = худи со скидкой всего 4990р и оплатить остаток (50%) можно при получении

А чтобы зафиксировать, нужно всего 500р

Бронируем?❤️
[photo-228420497_456239893]
[photo-228420497_456239894]
[photo-228420497_456239895]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - худи за 4990,"[Имя], мы вчера не смогли пообщаться  ответьте, пожалуйста, я жду!

Предлагаю вам познакомиться с нашим брендом и оформить худи с максимальной скидкой за 4990₽!

Вы сможете убедиться в качестве товара и потом дозаказать жилетку по акции

Давайте оформим?
[photo-228420497_456239619]
[photo-228420497_456239621]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - я работаю до 21.00,"[Имя], я работаю до 21.00, очень хочется успеть оформить Ваш заказ и создать для Вас макет, получится сейчас прислать данные, чтобы я передала заказ в работу дизайнеру?",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - наши отзывы,"Чтобы вы не сомневались, прикладываю реальные отзывы наших покупателей.

Обычно мы работаем только по предоплате, но вам можем пойти навстречу — оплатите половину уже при получении. Так будет спокойнее 

Давайте зафиксируем заказ в вашем размере?
[photo-44440184_457308778]
[photo-44440184_457308779]
[photo-44440184_457308780]
[photo-44440184_457308781]
[photo-44440184_457308782]
[photo-44440184_457308783]
[photo-44440184_457308784]
[photo-78389750_457478783]
[photo-78389750_457478784]
[photo-78389750_457478785]
[photo-78389750_457478786]
[photo-78389750_457478787]
[photo-78389750_457478788]
[photo-78389750_457478789]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - бронь 500 руб,"Поняла Вас, Просто может мы сможем забронировать за Вами заказ сегодня по предоплате всего 500р, а вернуться к оплате оставшейся суммы уже позже?

Просто скидка действует при обращении день в день и при бронировании сегодня Вы сможете сэкономить почти 1 т.р.

Так же пошив занимает от 10 до 14 рабочих дней и доставка 5-7 дней

Давайте забронируем сегодня, хорошо?",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - бронь 500р + подарок,"Можем зафиксировать за Вами скидку + подарок, если внесёте 500 рублей, а к работе приступить, как Вам будет удобно.

Отправим к любой нужной дате, хоть через год. Цена и подарки будут зафиксированы за Вами, и Вам останется только написать нам) Эти деньги будут вычитаться из суммы заказа) Если вдруг передумаете, то мы вернём предоплату.

Давайте забронируем?",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - футболка в подарок,"Все еще надеюсь, что ответите мне, так как я подготовила вам подарок ❤

Положу классную базовую футболку к заказу, давайте оформим?)
[photo-44440184_457302388]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - конкурс менеджера,"[Имя], это я, София
Сегодня у меня в отделе конкурс среди менеджеров, и мне очень хочется занять первое место, мне выпишут премию

Поэтому решила написать Вам лично: если вы планировали оформить заказ или давно думаете - буду очень благодарна, если оформите его через меня 
Со своей стороны обязательно положу небольшой подарок от себя лично к вашему заказу 

Давайте подберем что-нибудь для Вас?
[photo-228420497_456240448]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - не хватает вашего заказа,"А мы вот уже почти все заказы подготовили к отправке 
Вашего только не хватает среди этой красоты))

Давайте вместе что-нибудь подберем для вас — помогу с выбором, покажу самые удачные варианты  И от меня лично положу небольшой подарочек к заказу 

Согласны?

[photo-228420497_456240449]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - предзаказ,"Хочу Вам предложить очень удобный вариант - ПРЕДЗАКАЗ

Мы с Вами уже начнем работу над макетом и доведем до идеала будущий костюм. Уточню, количество правок неограниченно. А изготовим и отправим костюм к нужной Вам дате.

Для этого необходима только предоплата в 500 руб!

*Бронь бессрочна, а также вычитается из стоимости заказа. Если передумаете, предоплата вернется. 

Начнем с Вами работу над макетом?❤️",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - Разделение оплаты,"[Имя], не нужно оплачивать всю сумму сразу! Для начала можете внести только 500 руб.

Остаток сможете внести когда вам будет удобно по финансам, изготовим образ - а доставим хоть через месяц. Я всегда помогу и подстроюсь под Вас! 

Посмотрите готовые дизайны наших клиентов  
Как вам такой вариант? 

[photo-228420497_456239843]
[photo-228420497_456239844]
[photo-228420497_456239845]
[photo-228420497_456239846]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - ОС для руководителя,"Добрый день, [Имя]! 

Меня зовут Елена - я руководитель отдела заботы в Hemilton. Проверяю работу менеджеров и наткнулась на ваш диалог.

Вижу, что Вы интересовались нашими образами, но заказ так и не оформили(

Подскажите, что Вас остановило от заказа?",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - не выбрал дизайн,"[Имя], если у вас возникли трудности с выбором подходящего текста, могу предложить наши самые популярные варианты

Обычно наши клиенты наносят свои имя/фамилию, либо надписи, фотографии

Какой вариант вам подойдет?)

[photo-228420497_456240607]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - скорее всего не успеваем,"Мы изготавливаем костюмы под заказ, не отправляем их со склада, срок изготовления от 10 рабочих дней.
Скорее всего не получится отправить заказ к вашей дате, но сделаем все возможное, чтобы он приехал к вам как можно раньше

Ничего страшного?)",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - вы интересовались худи,"Здравствуйте, Вы интересовались толстовкой. Не успели обсудить все детали, как Вы перестали отвечать на сообщения :( 

Чувствую свою вину, может быть я неправильно что-то объяснила?
[photo-44440184_457312569]
[photo-44440184_457312570]
[photo-44440184_457313263]
[video-44440184_456240587]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг - Дождался вашего ответа (видео),[video-228420497_456239078],,,,,,,,,,,,,,,,,,,,,
,Пинги,Удалите отзыв (возврат сделали),"[Имя], очень жаль, что возникли проблемы с заказом. Мы вернули деньги, как и обещали, и надеюсь, это немного сгладит ситуацию

Негативный отзыв, к сожалению, очень сильно влияет на мою работу, и руководитель тоже переживает. 

Буду очень благодарна, если вы сможете удалить отзыв, хорошо?",,,,,,,,,,,,,,,,,,,,,
,Пинги,После ссылки на оплату,"Смотрите, я для Вас уже сделала ссылочку на внесение предоплаты, она действует всего час( 

Оплата у Вас займет буквально 1-2 минуты и я уже смогу передать заказ дизайнеру для создания макета.

 Кстати, оформление и обсуждение деталей заказа мы сможем продолжить чуть позже. Попробуете сейчас оплатить?",,,,,,,,,,,,,,,,,,,,,
,Пинги,Женские образы,"Конечно! У нас есть костюмы также и для прекрасных дам

Какой образ вам понравился?❤ 

[photo-228420497_456239620]
[photo-228420497_456239622]
[photo-228420497_456239228]
[photo-228420497_456239192]
[photo-228420497_456239146]",,,,,,,,,,,,,,,,,,,,,
,Пинги,"Бюджет (4-5к), термо-принт","[Имя], если бюджет немного ограничен, то могу предложить отличную альтернативу - термо-принт

Это не обычная наклейка, как думают многие, а качественное нанесение под прессом. Такой принт не боится воды, не трескается после стирок.

В стоимость худи уже включены 3 принта: флаг на рукаве, герб на груди и любая надпись. А по желанию, можем доработать дизайн и сделать еще что-нибудь на спине!

Как вам такой вариант? Оформим худи с термо-принтом?
[photo-44440184_457332206]
[photo-44440184_457332205]
[video-228420497_456239084]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Термо-принт это,"Мы используем термопринт — это не обычная наклейка, а плотное нанесение, которое выдерживает стирку при 30°. Он не трескается и не стирается, даже при регулярной носке.",,,,,,,,,,,,,,,,,,,,,
,Пинги,Когда удобно связаться,"Во сколько Вам будет удобно связаться, чтобы я Вас зря не беспокоила?",,,,,,,,,,,,,,,,,,,,,
,Пинги,-----ГОЛОСОВЫЕ-----,,,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС - Вы на связи?,[audio_message569993513_687712211],,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС Написали и молчите,[audio_message569993513_687712228],,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС Не подошло по цене,"☺
[audio_message569993513_687712231]",,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС Отправила подробный расчет,[audio_message569993513_687712235],,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС-Бронь 500 руб,[audio_message569993513_687712212],,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС- не подошел образ или где то не объяснила,☺️ [audio_message569993513_687712217],,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС- прислать еще варианты образов?,☺️[audio_message569993513_687712222],,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС- скажите прямо,[audio_message569993513_687712225],,,,,,,,,,,,,,,,,,,,,
,Пинги,Пинг ГС-написали и молчите,[audio_message569993513_687712228],,,,,,,,,,,,,,,,,,,,,
,Пинги,Бесплатный макет,"Я договорилась с дизайнером, чтобы сделать для Вас бесплатный макет

Можно будет сразу понять, как будет выглядеть в живую!)) Хотите посмотреть?",,,,,,,,,,,,,,,,,,,,,
Скрипты для отработки возражений и дожима клиентов до внесения оплаты,ОП 3 Отработка и Дожим,Минималка 300 ч2,"Мы можем оформить для вас отложенную покупку — с бронью к нужной дате ❤️

Предоплата — минимальная и удобная: всего 300₽.
С этой суммы уже фиксируются акции, создаётся макет, а дальше:

 50% — перед изготовлением (когда вам будет комфортно)
 Остаток — при получении!

Заказ можно будет дооформить позже: хоть через 2 недели, хоть через месяц. Главное —  за вами сохраняется цена со скидкой ❤️

Давайте оставим бронь за вами, а к оформлению вернёмся, когда вам будет удобно — хорошо?",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Видео со склада (недоверие),"❗ На связи мой руководитель:

Записал для вас видео со склада.

Наши реквизиты на оф. сайте Т-банка: https://www.tbank.ru/business/contractor/legal/318169000177309/

Лично проконтролирую Ваш заказ, мы Вас не подведем. Давайте оформим?

[video-81457851_456240406]",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Дорого (почему такая цена),"[Имя], давайте распишу более подробно, из чего складывается цена☺️

✅У нас свое производство в городе Казань, на нашем счету более 6000 довольных клиентов, мы гордимся нашим качеством

✅Состав наших изделий: вискоза/хлопок - 85%, полиэстер - 15%.
Мы шьём их сами — ткань отбираем лично, всё производство под контролем. 

✅Ткань у нас футер, достаточно плотная, мягкая, поэтому изделие очень приятное к телу 

✅Индивидуальный принт, учитывая любые ваши пожелания

Сейчас сложно найти что-то стоящее, включающее в себя и качество и красоту! Будет сшито под вас, по вашим размерам, только ваше!☺️

Согласны, что цена оправдана?

[video-228420497_456239097]
[photo-228420497_456240768]",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Конкурс менеджеров (300р),"Мне очень неудобно просить, но у нас сегодня важный конкурс менеджеров! 

Скажите, пожалуйста, Вам удобно будет оформить заказ сейчас по предоплате 300 руб?

Я Вас пока внесу в базу данных, забронирую Вам лучшего мастера, а как определимся с деталями, то сразу приступим к сборке, утвердим макет и если нужно внесем правки, а отправим ближе к дате. Я в свою очередь положу Вам подарок в заказ!

Вы меня прям очень сильно выручите, и я в свою очередь в долгу не останусь! Пожалуйста❤️",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Термо-принт это,"Мы используем термопринт — это не обычная наклейка, а плотное нанесение, которое выдерживает стирку при 30°. Он не трескается и не стирается, даже при регулярной носке. ❤",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Потом,"[Имя], к сожалению потом будет ощутимо дороже 

Ткани таааак подорожали, это просто ужас! 
Пока старая партия, цену держим, но скорее всего придется поднять после следующей закупки (и не только нас это коснется, увы)

Смотрите, мы можем с Вами с минимальной предоплаты в 300 рублей начать, а дальше Вы уже частями сможете как и когда Вам удобно внести остаток. 

Либо вовсе оформиться через Долями или Яндекс Сплит)

Так за Вами и текущая стоимость сохранится, и подарочек ☺

Вам как комфортнее?❤",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Нет денег,"[Имя], понимаю Вашу ситуацию прекрасно 

Но я всё же рекомендую не откладывать в долгий ящик, у нас и скидочки уже завтра закончатся, и в целом будет подорожание :(

Ткани таааак подорожали, это просто ужас! Пока старая партия, цену держим, но скорее всего придется поднять (и не только нас это коснется, увы)

[Имя], смотрите, мы можем с Вами с минимальной предоплаты в 300 рублей начать, а дальше Вы уже частями сможете как и когда Вам удобно внести остаток. 
А мы пока макет сделаем, все детали по дизайну с Вами согласуем ❤

Либо вовсе можем оформиться через Долями или Яндекс Сплит)

Вам как комфортнее? ☺",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Какой бюджет,"А вы на какой бюджет рассчитывали примерно?

Согласую у руководства для вас максимальную скидку!)",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Бесплатный Макет,"Я договорилась с дизайнером, чтобы сделать для Вас бесплатный макет!

Можно будет сразу понять, как будет выглядеть в живую!)) Хотите посмотреть?❤",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,минималка 300р,"[Имя], смотрите, мы можем с Вами с минимальной предоплаты в 300 рублей начать, а дальше Вы уже частями сможете как и когда Вам удобно внести остаток.
А мы пока макет сделаем, все детали по дизайну с Вами согласуем ❤

Либо вовсе можем оформиться через Долями или Яндекс Сплит)

Вам как комфортнее? ☺",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Качество ткани,"Коротко о главном ☺️

✅Состав наших изделий: вискоза/хлопок - 85%, полиэстер - 15%.
Мы шьём их сами — ткань отбираем лично, всё производство под контролем. 

✅Ткань у нас футер, достаточно плотная, мягкая, поэтому изделие очень приятное к телу. Ткань дышит, носится долго.

✅Индивидуальный дизайн, учитывая любые ваши пожелания 

Чтобы не быть голословной, прикрепляю вам видео обзор!

Качественная вещь точно не будет лишней в гардеробе. Надо брать) 

[video-228420497_456239087]
[video-228420497_456239088]

Оформим? ❤",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Маркетплейсы сравнение,"Конечно, я знаю что на маркетплейсах можно найти худи за 2000-3000₽... 
Но давайте честно сравним:

Маркетплейс за 3000₽:
❌ Ткань — тонкий полиэстер или смесовая, сядет после стирки;
❌ Швы — обычные, через 2-3 месяца могут разойтись;
❌ Принт — плёнка, которая треснет и облезет;
❌ Дизайн — массовый, такой же у сотни людей.

Наше худи за 5990₽:
✅ Плотный хлопок 400 г/м² — тёплый, дышащий, не садится;
✅ Усиленные двойные швы — носится годами
✅ Принт — качественный, не слезет после первой стирки;
✅ Дизайн — только ваш, больше ни у кого такого не будет.

Если вам нужен вариант «на один сезон» — берите дешевле. Если хотите вещь на годы и уникальную — тогда мы. Согласны со мной?",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Маркетплейсы 2,"Хочу добавить ещё один важный момент. На маркетплейсах вы купите готовое худи, которое носят тысячи других людей. А мы делаем худи специально для вас — ни у кого больше такого не будет. Это ваша уникальная вещь, а не массовка ☝

Для кого-то это не важно, а для кого-то — главное. Для вас же это имеет значение?☺",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,"Просто узнавал, не надо ничего","Поняла, просто глянули цену - хорошо, многие наши клиенты так же делают сначала))

А Вы изначально на себя смотрели или в подарок?)",,,,,,,,,,,,,,,,,,,,,
